US.GA.119,Franklin County,Franklin County,4196096,-83.22918,34.37544
US.GA.121,Fulton County,Fulton County,4196508,-84.46702,33.79025
US.GA.123,Gilmer County,Gilmer County,4197146,-84.45559,34.69121
US.GA.125,Glascock County,Glascock County,4197240,-82.6107,33.22928
US.GA.127,Glynn County,Glynn County,4197388,-81.4937,31.21324
US.GA.129,Gordon County,Gordon County,4197608,-84.87575,34.50336
US.GA.131,Grady County,Grady County,4197807,-84.23443,30.87467
US.GA.133,Greene County,Greene County,4198160,-83.16666,33.57878
US.GA.135,Gwinnett County,Gwinnett County,4198645,-84.02363,33.96173
US.GA.137,Habersham County,Habersham County,4198688,-83.53112,34.63102
US.GA.139,Hall County,Hall County,4198821,-83.81968,34.31689
US.GA.141,Hancock County,Hancock County,4198997,-83.00069,33.27043
US.GA.143,Haralson County,Haralson County,4199102,-85.21103,33.79423
US.GA.145,Harris County,Harris County,4199416,-84.90899,32.736
US.GA.147,Hart County,Hart County,4199517,-82.96425,34.3509
US.GA.149,Heard County,Heard County,4199820,-85.12827,33.29703
US.GA.151,Henry County,Henry County,4200051,-84.1542,33.453
US.GA.153,Houston County,Houston County,4201512,-83.66624,32.45901
US.GA.155,Irwin County,Irwin County,4202266,-83.27638,31.60228
US.GA.157,Jackson County,Jackson County,4202453,-83.56635,34.13388
US.GA.159,Jasper County,Jasper County,4202638,-83.68809,33.31643
US.GA.161,Jeff Davis County,Jeff Davis County,4202662,-82.63694,31.8056
US.GA.163,Jefferson County,Jefferson County,4202678,-82.41815,33.05484
US.GA.165,Jenkins County,Jenkins County,4202750,-81.96353,32.79247
US.GA.167,Johnson County,Johnson County,4202983,-82.66008,32.70146
US.GA.169,Jones County,Jones County,4203171,-83.56052,33.02513
US.GA.171,Lamar County,Lamar County,4204869,-84.13946,33.07654
US.GA.173,Lanier County,Lanier County,4205013,-83.06265,31.03789
US.GA.175,Laurens County,Laurens County,4205152,-82.92224,32.46366
US.GA.177,Lee County,Lee County,4205331,-84.14113,31.77951
US.GA.179,Liberty County,Liberty County,4205615,-81.45626,31.80723
US.GA.181,Lincoln County,Lincoln County,4205780,-82.45121,33.79366
US.GA.185,Lowndes County,Lowndes County,4207045,-83.26771,30.83386
US.GA.187,Lumpkin County,Lumpkin County,4207132,-84.00265,34.57219
US.GA.193,Macon County,Macon County,4207403,-84.04248,32.35839
US.GA.195,Madison County,Madison County,4207451,-83.20904,34.12778
US.GA.197,Marion County,Marion County,4207805,-84.52464,32.35338
US.GA.189,McDuffie County,McDuffie County,4208454,-82.48137,33.48285
US.GA.191,McIntosh County,McIntosh County,4208544,-81.37557,31.48381
US.GA.199,Meriwether County,Meriwether County,4208945,-84.68831,33.04066
US.GA.201,Miller County,Miller County,4209479,-84.73072,31.16399
US.GA.205,Mitchell County,Mitchell County,4209744,-84.19431,31.22532
US.GA.207,Monroe County,Monroe County,4209889,-83.91872,33.01408
US.GA.209,Montgomery County,Montgomery County,4209939,-82.53482,32.17336
US.GA.211,Morgan County,Morgan County,4210114,-83.49238,33.59083
US.GA.213,Murray County,Murray County,4211691,-84.74809,34.78845
US.GA.215,Muscogee County,Muscogee County,4211716,-84.87704,32.50996
US.GA.217,Newton County,Newton County,4212736,-83.85019,33.55505
US.GA.219,Oconee County,Oconee County,4213838,-83.43705,33.83494
US.GA.221,Oglethorpe County,Oglethorpe County,4213930,-83.0807,33.88065
US.GA.223,Paulding County,Paulding County,4214993,-84.86729,33.92055
US.GA.225,Peach County,Peach County,4215089,-83.82688,32.56878
US.GA.227,Pickens County,Pickens County,4215637,-84.46564,34.46432
US.GA.229,Pierce County,Pierce County,4215697,-82.21274,31.35876
US.GA.231,Pike County,Pike County,4215755,-84.38923,33.09227
US.GA.233,Polk County,Polk County,4216880,-85.18815,34.00178
US.GA.235,Pulaski County,Pulaski County,4217563,-83.47596,32.2323
US.GA.237,Putnam County,Putnam County,4217625,-83.37284,33.32177
US.GA.239,Quitman County,Quitman County,4217715,-85.01878,31.86733
US.GA.241,Rabun County,Rabun County,4217747,-83.40214,34.88168
US.GA.243,Randolph County,Randolph County,4217909,-84.75419,31.76262
US.GA.245,Richmond County,Richmond County,4218744,-82.07355,33.35963
US.GA.247,Rockdale County,Rockdale County,4219431,-84.02661,33.65424
US.GA.249,Schley County,Schley County,4221659,-84.31472,32.26169
US.GA.251,Screven County,Screven County,4221757,-81.61193,32.75059
US.GA.253,Seminole County,Seminole County,4221942,-84.86887,30.93878
US.GA.255,Spalding County,Spalding County,4223848,-84.28416,33.26087
US.GA.257,Stephens County,Stephens County,4224510,-83.29343,34.55394
US.GA.259,Stewart County,Stewart County,4224592,-84.8352,32.07846
US.GA.261,Sumter County,Sumter County,4225168,-84.19704,32.03997
US.GA.263,Talbot County,Talbot County,4225609,-84.53301,32.69949
US.GA.265,Taliaferro County,Taliaferro County,4225621,-82.87876,33.56609
US.GA.267,Tattnall County,Tattnall County,4225814,-82.05818,32.04575
US.GA.269,Taylor County,Taylor County,4225854,-84.25046,32.55546
US.GA.271,Telfair County,Telfair County,4225944,-82.93899,31.9298
US.GA.273,Terrell County,Terrell County,4226051,-84.43692,31.77688
US.GA.275,Thomas County,Thomas County,4226286,-83.91931,30.86368
US.GA.277,Tift County,Tift County,4226538,-83.52659,31.45744
US.GA.279,Toombs County,Toombs County,4226802,-82.33129,32.12172
US.GA.281,Towns County,Towns County,4226924,-83.73728,34.91665
US.GA.283,Treutlen County,Treutlen County,4227019,-82.56728,32.40388
US.GA.285,Troup County,Troup County,4227166,-85.02834,33.03351
US.GA.287,Turner County,Turner County,4227392,-83.62409,31.71638
US.GA.289,Twiggs County,Twiggs County,4227499,-83.42708,32.6672
US.GA.291,Union County,Union County,4227781,-83.99076,34.83401
US.GA.293,Upson County,Upson County,4228098,-84.29934,32.88127
US.GA.295,Walker County,Walker County,4229163,-85.30098,34.73566
US.GA.297,Walton County,Walton County,4229371,-83.73385,33.78156
US.GA.299,Ware County,Ware County,4229446,-82.42368,31.05363
US.GA.301,Warren County,Warren County,4229498,-82.67676,33.40896
US.GA.303,Washington County,Washington County,4229557,-82.7959,32.96954
US.GA.305,Wayne County,Wayne County,4229782,-81.91676,31.55143
US.GA.307,Webster County,Webster County,4229882,-84.55105,32.04665
US.GA.309,Wheeler County,Wheeler County,4230492,-82.72459,32.11707
US.GA.311,White County,White County,4230595,-83.74711,34.64636
US.GA.313,Whitfield County,Whitfield County,4230822,-84.96722,34.80561
US.GA.315,Wilcox County,Wilcox County,4230919,-83.43236,31.9729
US.GA.317,Wilkes County,Wilkes County,4231029,-82.74323,33.78195
US.GA.319,Wilkinson County,Wilkinson County,4231046,-83.17125,32.80241
US.GA.321,Worth County,Worth County,4231976,-83.85088,31.55151
US.IL.001,Adams County,Adams County,4232512,-91.18849,39.98789
US.IL.003,Alexander County,Alexander County,4232592,-89.33764,37.1916
US.IL.005,Bond County,Bond County,4234184,-89.43555,38.88682
US.IL.009,Brown County,Brown County,4234528,-90.75034,39.96181
US.IL.013,Calhoun County,Calhoun County,4235018,-90.66753,39.1693
US.IL.017,Cass County,Cass County,4235369,-90.24738,39.97356
US.IL.021,Christian County,Christian County,4235793,-89.27727,39.54579
US.IL.023,Clark County,Clark County,4235954,-87.78772,39.33357
US.IL.025,Clay County,Clay County,4235992,-88.49019,38.75416
US.IL.027,Clinton County,Clinton County,4236063,-89.42248,38.60645
US.IL.029,Coles County,Coles County,4236157,-88.2218,39.52029
US.IL.033,Crawford County,Crawford County,4236576,-87.75956,39.00269
US.IL.035,Cumberland County,Cumberland County,4236738,-88.24023,39.27332
US.IL.041,Douglas County,Douglas County,4237204,-88.21735,39.76946
US.IL.045,Edgar County,Edgar County,4237672,-87.74557,39.67853
US.IL.047,Edwards County,Edwards County,4237705,-88.05327,38.41653
US.IL.049,Effingham County,Effingham County,4237730,-88.58986,39.05977
US.IL.051,Fayette County,Fayette County,4238245,-89.02414,39.00019
US.IL.055,Franklin County,Franklin County,4238982,-88.92415,37.99229
US.IL.059,Gallatin County,Gallatin County,4239230,-88.2305,37.76275
US.IL.061,Greene County,Greene County,4239836,-90.39049,39.3562
US.IL.065,Hamilton County,Hamilton County,4240145,-88.53911,38.08157
US.IL.069,Hardin County,Hardin County,4240212,-88.26685,37.5182
US.IL.077,Jackson County,Jackson County,4241687,-89.38212,37.78514
US.IL.079,Jasper County,Jasper County,4241756,-88.15381,39.01003
US.IL.081,Jefferson County,Jefferson County,4241773,-88.92401,38.30052
US.IL.083,Jersey County,Jersey County,4241818,-90.35668,39.08566
US.IL.087,Johnson County,Johnson County,4241904,-88.88089,37.45963
US.IL.101,Lawrence County,Lawrence County,4242758,-87.72673,38.71995
US.IL.115,Macon County,Macon County,4243719,-88.9616,39.86
US.IL.117,Macoupin County,Macoupin County,4243727,-89.92443,39.26102
US.IL.119,Madison County,Madison County,4243743,-89.90517,38.82985
US.IL.121,Marion County,Marion County,4243907,-88.91897,38.64959
US.IL.127,Massac County,Massac County,4244065,-88.70774,37.21903
US.IL.133,Monroe County,Monroe County,4244752,-90.17738,38.27865
US.IL.135,Montgomery County,Montgomery County,4244772,-89.47887,39.23104
US.IL.137,Morgan County,Morgan County,4244840,-90.2015,39.71556
